,class,tax_order,family,genus,genus sp.
198,Actinopterygii,Cypriniformes,Cyprinidae,Leuciscus,Leuciscus cephalus
199,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla japonica
200,Actinopterygii,Cypriniformes,Cyprinidae,Rhinichthys,Rhinichthys cataractae
201,Actinopterygii,Perciformes,Serranidae,Centropristis,Centropristis striata
202,Actinopterygii,Synbranchiformes,Mastacembelidae,Mastacembelus,Mastacembelus pancalus
203,Actinopterygii,Clupeiformes,Clupeidae,Brevoortia,Brevoortia tyrannus
204,Actinopterygii,Pleuronectiformes,Bothidae,Scophthalmus,Scophthalmus aquosus
205,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii
206,Actinopterygii,Gasterosteiformes,Gasterosteidae,Pungitius,Pungitius pungitius
207,Actinopterygii,Perciformes,Cichlidae,Cichlasoma,Cichlasoma urophthalmus
208,Actinopterygii,Perciformes,Gobiidae,Gillichthys,Gillichthys mirabilis
209,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Fundulus,Fundulus parvipinnis
210,Chondrichthyes,Rajiformes,Dasyatidae,Urolophus,Urolophus halleri
211,Actinopterygii,Pleuronectiformes,Bothidae,Paralichthys,Paralichthys californicus
212,Actinopterygii,Perciformes,Serranidae,Paralabrax,Paralabrax nebulifer
213,Actinopterygii,Pleuronectiformes,Paralichthyidae,Citharichthys,Citharichthys stigmaeus
214,Actinopterygii,Pleuronectiformes,Pleuronectidae,Pleuronichthys,Pleuronichthys ritteri
215,Actinopterygii,Cypriniformes,Cyprinidae,Barbus,Barbus arulius
216,Actinopterygii,Cypriniformes,Cyprinidae,Puntius,Puntius sarana
217,Actinopterygii,Cypriniformes,Cyprinidae,Chela,Chela phulo
218,Actinopterygii,Siluriformes,Ictaluridae,Ictalurus,Ictalurus furcatus
219,Actinopterygii,Clupeiformes,Clupeidae,Alosa,Alosa chrysochloris
220,Actinopterygii,Clupeiformes,Clupeidae,Dorosoma,Dorosoma cepedianum
221,Actinopterygii,Perciformes,Percidae,Sander,Sander canadensis
222,Actinopterygii,Perciformes,Centropomidae,Ambassis,Ambassis natalensis
223,Actinopterygii,Perciformes,Teraponidae,Terapon,Terapon jarbua
224,Actinopterygii,Perciformes,Centrarchidae,Ambloplites,Ambloplites rupestris
225,Actinopterygii,Perciformes,Centrarchidae,Lepomis,Lepomis sp.
226,Actinopterygii,Perciformes,Percidae,Etheostoma,Etheostoma exile
227,Actinopterygii,Semionotiformes,Lepisosteidae,Lepisosteus,Lepisosteus osseus
228,Actinopterygii,Cypriniformes,Cyprinidae,Labeo,Labeo fimbriatus
229,Actinopterygii,Cypriniformes,Cyprinidae,Barbus,Barbus filamentosus
230,Actinopterygii,Perciformes,Percidae,Sander,Sander lucioperca
231,Actinopterygii,Characiformes,Characidae,Hyphessobrycon,Hyphessobrycon serpae
232,Actinopterygii,Siluriformes,Plotosidae,Neosilurus,Neosilurus sp.
233,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla sp.
234,Actinopterygii,Cyprinodontiformes,Poeciliidae,Xiphophorus,Xiphophorus helleri
235,Actinopterygii,Characiformes,Curimatidae,Prochilodus,Prochilodus lineatus
236,Actinopterygii,Cypriniformes,Catostomidae,Erimyzon,Erimyzon sucetta
237,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,Salvelinus malma
238,Actinopterygii,Esociformes,Esocidae,Esox,Esox sp.
239,Actinopterygii,Osteoglossiformes,Hiodontidae,Hiodon,Hiodon alosoides
240,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea harengus
241,Actinopterygii,Perciformes,Sciaenidae,Micropogonias,Micropogonias undulatus
242,Actinopterygii,Siluriformes,Ariidae,Arius,Arius felis
243,Actinopterygii,Perciformes,Haemulidae,Orthopristis,Orthopristis chrysoptera
244,Actinopterygii,Perciformes,Sciaenidae,Bairdiella,Bairdiella chrysoura
245,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poecilia,Poecilia sp.
246,Actinopterygii,Cypriniformes,Cyprinidae,Hybopsis,Hybopsis amblops
247,Actinopterygii,Siluriformes,Schilbeidae,Schilbe,Schilbe mystus
248,Actinopterygii,Osteoglossiformes,Mormyridae,Pollimyrus,Pollimyrus isidori
249,Actinopterygii,Siluriformes,Bagridae,Chrysichthys,Chrysichthys nigrodigitatus
250,Actinopterygii,Cypriniformes,Cyprinidae,Barbus,Barbus macrops
251,Actinopterygii,Siluriformes,Bagridae,Chrysichthys,Chrysichthys longidorsalis
252,Actinopterygii,Perciformes,Cichlidae,Etroplus,Etroplus maculatus
253,Actinopterygii,Perciformes,Centropomidae,Ambassis,Ambassis ambassis
254,Actinopterygii,Pleuronectiformes,Scophthalmidae,Psetta,Psetta maxima
255,Actinopterygii,Cypriniformes,Cyprinidae,Carassius,Carassius sp.
256,Actinopterygii,Scorpaeniformes,Cottidae,Enophrys,Enophrys bison
257,Actinopterygii,Siluriformes,Clariidae,Clarias,Clarias anguillaris
258,Actinopterygii,Pleuronectiformes,Soleidae,Cynoglossus,Cynoglossus joyneri
259,Actinopterygii,Pleuronectiformes,Bothidae,Paralichthys,Paralichthys olivaceus
260,Actinopterygii,Siluriformes,Bagridae,Mystus,Mystus tengara
261,Actinopterygii,Scorpaeniformes,Scorpaenidae,Scorpaena,Scorpaena guttata
262,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,Salvelinus leucomaenis
263,Actinopterygii,Cypriniformes,Cyprinidae,Tribolodon,Tribolodon hakonensis
264,Actinopterygii,Cypriniformes,Cobitidae,Misgurnus,Misgurnus anguillicaudatus
265,Actinopterygii,Perciformes,Gobiidae,Chaenogobius,Chaenogobius annularis
266,Actinopterygii,Scorpaeniformes,Cottidae,Cottus,Cottus japonicus
267,Actinopterygii,Siluriformes,Siluridae,Silurus,Silurus asotus
268,Actinopterygii,Cypriniformes,Cyprinidae,Hemibarbus,Hemibarbus barbus
269,Actinopterygii,Siluriformes,Pimelodidae,Plecostomus,Plecostomus commersoni
270,Actinopterygii,Cypriniformes,Cyprinidae,Phoxinus,Phoxinus phoxinus
271,Actinopterygii,Mugiliformes,Mugilidae,Aldrichetta,Aldrichetta forsteri
272,Actinopterygii,Perciformes,Cichlidae,Tilapia,Tilapia galilaea
273,Actinopterygii,Perciformes,Sparidae,Sparus,Sparus macrocephalus
274,Actinopterygii,Siluriformes,Clariidae,Clarias,Clarias gariepinus
275,Actinopterygii,Perciformes,Chandidae,Pseudambassis,Pseudambassis ranga
276,Actinopterygii,Perciformes,Cichlidae,Tilapia,Tilapia zillii
277,Actinopterygii,Osmeriformes,Osmeridae,Hypomesus,Hypomesus olidus
278,Actinopterygii,Perciformes,Stichaeidae,Opisthocentrus,Opisthocentrus ocellatus
279,Actinopterygii,Perciformes,Anabantidae,Macropodus,Macropodus opercularis
280,Actinopterygii,Perciformes,Channidae,Channa,Channa striata
281,Actinopterygii,Cypriniformes,Cyprinidae,Cirrhinus,Cirrhinus molitorella
282,Actinopterygii,Perciformes,Percidae,Leiopotherapon,Leiopotherapon unicolor
283,Actinopterygii,Batrachoidiformes,Batrachoididae,Opsanus,Opsanus tau
284,Actinopterygii,Siluriformes,Clariidae,Clarias,Clarias macrocephalus
285,Actinopterygii,Perciformes,Sparidae,Sparus,Sparus aurata
286,Actinopterygii,Gasterosteiformes,Syngnathidae,Syngnathus,Syngnathus fuscus
287,Actinopterygii,Perciformes,Gobiidae,Gobiosoma,Gobiosoma bosc
288,Actinopterygii,Cypriniformes,Cyprinidae,Notropis,Notropis stramineus
289,Actinopterygii,Cypriniformes,Cyprinidae,Notropis,Notropis buccatus
290,Actinopterygii,Cypriniformes,Cyprinidae,Notropis,Notropis rubellus
291,Actinopterygii,Atheriniformes,Atherinidae,Atherinops,Atherinops affinis
292,Actinopterygii,Atheriniformes,Atherinidae,Menidia,Menidia peninsulae
293,Actinopterygii,Gasterosteiformes,Gasterosteidae,Apeltes,Apeltes quadracus
294,Actinopterygii,Pleuronectiformes,Bothidae,Paralichthys,Paralichthys dentatus
295,Actinopterygii,Perciformes,Moronidae,Morone,Morone sp.
296,Actinopterygii,Cypriniformes,Cyprinidae,Barilius,Barilius bendelisis
297,Actinopterygii,Siluriformes,Heptapteridae,Rhamdia,Rhamdia sapo
298,Actinopterygii,Perciformes,Cichlidae,Tilapia,Tilapia sp.
299,Actinopterygii,Atheriniformes,Atherinidae,Leuresthes,Leuresthes tenuis
300,Actinopterygii,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax
301,Actinopterygii,Pleuronectiformes,Soleidae,Solea,Solea solea
302,Actinopterygii,Mugiliformes,Mugilidae,Liza,Liza vaigiensis
303,Actinopterygii,Perciformes,Gobiidae,Clevelandia,Clevelandia ios
304,Actinopterygii,Perciformes,Sparidae,Pagrus,Pagrus major
305,Actinopterygii,Atheriniformes,Melanotaeniidae,Melanotaenia,Melanotaenia splendida
306,Actinopterygii,Atheriniformes,Melanotaeniidae,Melanotaenia,Melanotaenia nigrans
307,Actinopterygii,Atheriniformes,Atherinidae,Craterocephalus,Craterocephalus stercusmuscarum
308,Actinopterygii,Salmoniformes,Salmonidae,Thymallus,Thymallus thymallus
309,Actinopterygii,Atheriniformes,Atherinopsidae,Odontesthes,Odontesthes argentinensis
310,Actinopterygii,Siluriformes,Ariidae,Ariopsis,Ariopsis bonillai
311,Actinopterygii,Siluriformes,Ariidae,Cathorops,Cathorops spixii
312,Actinopterygii,Siluriformes,Ariidae,Megalops,Megalops atlanticus
313,Actinopterygii,Cypriniformes,Cyprinidae,Hypophthalmichthys,Hypophthalmichthys nobilis
314,Actinopterygii,Perciformes,Haemulidae,Haemulon,Haemulon sciurus
315,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus aguabonita
316,Actinopterygii,Perciformes,Ambassidae,Priopidichthys,Priopidichthys sp.
317,Actinopterygii,Synbranchiformes,Synbranchidae,Monopterus,Monopterus albus
318,Actinopterygii,Perciformes,Nototheniidae,Pseudaphritis,Pseudaphritis urvillii
319,Actinopterygii,Osmeriformes,Galaxiidae,Galaxias,Galaxias maculatus
320,Actinopterygii,Cypriniformes,Cyprinidae,Ptychocheilus,Ptychocheilus lucius
321,Actinopterygii,Cypriniformes,Cyprinidae,Barbus,Barbus javanicus
322,Actinopterygii,Perciformes,Centrarchidae,Lates,Lates calcarifer
323,Actinopterygii,Cypriniformes,Cyprinidae,Richardsonius,Richardsonius balteatus
324,Actinopterygii,Perciformes,Ammodytidae,Ammodytes,Ammodytes americanus
325,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Aplocheilus,Aplocheilus blockii
326,Actinopterygii,Perciformes,Osphronemidae,Colisa,Colisa lalia
327,Actinopterygii,Scorpaeniformes,Cottidae,Cottus,Cottus bairdi
328,Actinopterygii,Cypriniformes,Cyprinidae,Barbus,Barbus barbus
329,Actinopterygii,Pleuronectiformes,Pleuronectidae,Platichthys,Platichthys stellatus
330,Actinopterygii,Scorpaeniformes,Cottidae,Megalocottus,Megalocottus platycephalus
331,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus masou
332,Actinopterygii,Cypriniformes,Cyprinidae,Margariscus,Margariscus margarita
333,Actinopterygii,Characiformes,Characidae,Gymnocorymbus,Gymnocorymbus ternetzi
334,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Aphanius,Aphanius fasciatus
335,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Negaprion,Negaprion brevirostris
336,Chondrichthyes,Orectolobiformes,Orectolobidae,Ginglymostoma,Ginglymostoma cirratum
337,Actinopterygii,Cypriniformes,Cyprinidae,Tanichthys,Tanichthys albonubes
338,Actinopterygii,Cypriniformes,Cyprinidae,Barbus,Barbus holubi
339,Actinopterygii,Pleuronectiformes,Pleuronectidae,Pseudopleuronectes,Pseudopleuronectes yokohamae
340,Actinopterygii,Cypriniformes,Cyprinidae,Alburnus,Alburnus albidus
341,Actinopterygii,Cypriniformes,Cobitidae,Cobitis,Cobitis taenia
342,Actinopterygii,Osmeriformes,Galaxiidae,Galaxias,Galaxias auratus
343,Actinopterygii,Perciformes,Channidae,Channa,Channa marulius
344,Actinopterygii,Siluriformes,Bagridae,Sperata,Sperata seenghala
345,Actinopterygii,Perciformes,Cichlidae,Cichlasoma,Cichlasoma bimaculatum
346,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Aphanius,Aphanius dispar
347,Actinopterygii,Scorpaeniformes,Cottidae,Cottus,Cottus cognatus
348,Actinopterygii,Cypriniformes,Cyprinidae,Cyprinella,Cyprinella whipplei
349,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Fundulus,Fundulus notatus
350,Actinopterygii,Clupeiformes,Clupeidae,Alosa,Alosa aestivalis
351,Actinopterygii,Clupeiformes,Clupeidae,Alosa,Alosa pseudoharengus
352,Actinopterygii,Mugiliformes,Mugilidae,Mugil,Mugil carinatus
353,Actinopterygii,Perciformes,Eleotridae,Mogurnda,Mogurnda mogurnda
354,Actinopterygii,Esociformes,Umbridae,Umbra,Umbra limi
355,Actinopterygii,Cypriniformes,Cobitidae,Misgurnus,Misgurnus fossilis
356,Actinopterygii,Perciformes,Sciaenidae,Nibea,Nibea albiflora
357,Actinopterygii,Perciformes,Gobiidae,Odontamblyopus,Odontamblyopus rubicundus
358,Actinopterygii,Perciformes,Ammodytidae,Ammodytes,Ammodytes hexapterus
359,Actinopterygii,Perciformes,Moronidae,Morone,Morone chrysops
360,Actinopterygii,Atheriniformes,Melanotaeniidae,Melanotaenia,Melanotaenia duboulayi
361,Actinopterygii,Clupeiformes,Clupeidae,Nematalosa,Nematalosa erebi
362,Actinopterygii,Perciformes,Percichthyidae,Macquaria,Macquaria ambigua
363,Actinopterygii,Perciformes,Teraponidae,Bidyanus,Bidyanus bidyanus
364,Actinopterygii,Cypriniformes,Cyprinidae,Amblypharyngodon,Amblypharyngodon melettinus
365,Actinopterygii,Perciformes,Channidae,Ophiocephalus,Ophiocephalus punctatus
366,Actinopterygii,Perciformes,Osphronemidae,Trichogaster,Trichogaster trichopterus
367,Actinopterygii,Pleuronectiformes,Pleuronectidae,Pleuronectes,Pleuronectes ferrugineus
368,Actinopterygii,Mugiliformes,Mugilidae,Valamugil,Valamugil engeli
369,Actinopterygii,Perciformes,Kuhliidae,Kuhlia,Kuhlia sandvicensis
370,Actinopterygii,Clupeiformes,Engraulidae,Encrasicholina,Encrasicholina purpurea
371,Actinopterygii,Tetraodontiformes,Balistidae,Rudarius,Rudarius ercodes
372,Actinopterygii,Cypriniformes,Cyprinidae,Barbus,Barbus guganio
373,Actinopterygii,Perciformes,Blenniidae,Lipophrys,Lipophrys pholis
374,Actinopterygii,Perciformes,Sparidae,Chrysophrys,Chrysophrys major
375,Actinopterygii,Perciformes,Labridae,Tautogolabrus,Tautogolabrus adspersus
376,Actinopterygii,Perciformes,Carangidae,Seriola,Seriola quinqueradiata
377,Actinopterygii,Siluriformes,Bagridae,Tandanus,Tandanus tandanus
378,Actinopterygii,Perciformes,Gobiidae,Pomatoschistus,Pomatoschistus minutus
379,Chondrichthyes,Rajiformes,Rajidae,Raja,Raja radiata
380,Actinopterygii,Siluriformes,Siluridae,Silurus,Silurus glanis
381,Actinopterygii,Cyprinodontiformes,Aplocheilidae,Rivulus,Rivulus cylindraceus
382,Actinopterygii,Salmoniformes,Plecoglossidae,Plecoglossus,Plecoglossus altivelis
383,Actinopterygii,Atheriniformes,Atherinidae,Atherinosoma,Atherinosoma microstoma
384,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,Salvelinus sp.
385,Actinopterygii,Perciformes,Serranidae,Serranus,Serranus scriba
386,Actinopterygii,Cypriniformes,Cyprinidae,Hybognathus,Hybognathus regius
387,Actinopterygii,Cypriniformes,Cyprinidae,Labeo,Labeo boga
388,Actinopterygii,Cypriniformes,Cyprinidae,Rasbora,Rasbora neilgherriensis
389,Actinopterygii,Perciformes,Sparidae,Chrysophrys,Chrysophrys auratus
390,Actinopterygii,Mugiliformes,Mugilidae,Mugil,Mugil sp.
391,Actinopterygii,Salmoniformes,Salmonidae,Coregonus,Coregonus fera
392,Actinopterygii,Mugiliformes,Mugilidae,Liza,Liza ramado
393,Actinopterygii,Perciformes,Gobiidae,Gobiusculus,Gobiusculus flavescens
394,Actinopterygii,Cypriniformes,Cyprinidae,Gila,Gila atraria
395,Actinopterygii,Cypriniformes,Cyprinidae,Gila,Gila copei
396,Actinopterygii,Cypriniformes,Cyprinidae,Rhinichthys,Rhinichthys sp.
397,Actinopterygii,Cyprinodontiformes,Poeciliidae,Gambusia,Gambusia sp.
398,Actinopterygii,Acipenseriformes,Polyodontidae,Polyodon,Polyodon spathula
399,Actinopterygii,Siluriformes,Ictaluridae,Ictalurus,Ictalurus sp.
400,Actinopterygii,Characiformes,Characidae,Astyanax,Astyanax fasciatus
401,Actinopterygii,Cypriniformes,Cyprinidae,Cyprinion,Cyprinion watsoni
