,pubchem2d
979,11100000011100111000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011000000000000000000000000000000000000000000000000000000000000000000000000011000000000000000000000000001110000000010000100000000000000000000000000000000100000101000110000010000000000000100000000110001000000000110110010000001000000000000001000000000000000000000000000000010010000000000000000000000000000001001000000000000000010000000000000010000000010000000000010000000000000000000100000000000100000000000000000000000100000000000000000000000000000000000000010000001000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
980,00000000011000100010000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001111000000000010000000000100000000000000000011010110000000100100000011001100000000000001100000000011010000000000000000000001000000000100100000000011000100000010000100000000000000000001000100000000000000000001000000010000000000100000000001000100000000000000001000000100010101000000010001010011000100010100000100001000100010010100000000111000000000000001001001100000000010001000010001001101000011111100000001100000000000000000011100010000000000000000000000001000000000000001000000000010000000000010000000000000000000000001000000000000001000000000010000000000000000000000000000000000000000000000000000
981,11100000011110110011100000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000110000010000000000000000000000000000000000000000000000000000000101100011111010000000000000000000001111000000010000000000000000000000000000000000000100000011110111000011001011000100110001111101100111010110010000010000001010000000000101010000000000100110100111101110100110000000110100000101000100000100100001100010111011100100000000010001101100000100001011111110111111010011000000011110110011011100010110001011011001110011111100111110011100000101000111001001100000000010001110110101110100000000111110100000100000000000000000000000000000100000000010000000000000000000010000000000000000000100000000000100000000010000000000000000000010000000000000000000100000000000000000000000000000000000000000000000
982,11100000011100100011000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001111000000010000100000000100000000000000000000000110000000110101000001001100000100110001100100000111010000010110000000000011000000000100010000000001000100000110100100000100000000010000000100000100000000000001000000010010100000000000010001000100010000000010011100000101010001000000011010010011000100010100001010011001100011110100000100011100000100000101001001100000000010001000010111010100000000111100000001100000000100000000011100000000000100000000000000010000000000000000010000000000000000000000000000100000000000000010000000000000000010000000000000000000000000000000000000000000000000000000000000
983,11100000011110100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000110000000000000000000000000000000000000000000000000000000000000000000010100000000000000000000000001111000000000000100000000000000000000000000000000110000011100101000011001100000000010001100101100011010000010110000000000010000000000100010000000001000100101010100100101000000000000100000100000100000000000001001010010001000000000000010001000100000000001000001100110110011001000000011000010011000110010110001001011010110011011100001100011100100101000111001101101010000011001110010001110100110000111100110001101100010000011100011101000000000000000000000000000001000000000000100000000000000000000000000000000000000000000000001000000000000100000000000000000000000000000000000000000000000000000000000000
984,11000000011100000010000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000110000000000000000000000000000000000000000000000000000000000000000000010100000000000000000000000001101000000000000000000000000000000000000000000000110000000100100000001001100000000000001100000000011010000000000000000000000000000000100000000000001000100000010000100000000000000000000000100000000000000000001000000010000000000000000010001000100000000000000001100000100010001000000010000010011000100010100000000001000100010010100000000011000000000000001001001100000000010001000010001000100000000111100000001100000011100000000011101000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000
985,11100000011100111011100110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001110100000000000101000000000000000000000000000000110000001000110000010001100000010100001100101100000010000011010100000100000000000000100000010000001000100100010000100100001100000000100000100000000000000000001000010000001000000000001000001000100000000000000010000111010010001010000010000110000000100010110000001101000011010001100101000010000000001000011000001000000010000000110010001100100000000111000100001000000000000000000011100000100000000000100000000100000000000100000000100000000000100000000100000000000100000000100000000000100000000100000000000100000000000000000000000000000000000000000000000
986,10000000011000000011111000000000000000000000000000000000000001000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000000000000000000000000000000000000000100000001000000000000000000000100000100000000000000000000000000000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
987,11000000011100000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001101000000000000000000000100000000000000000000000110000000100100000001001100000000010001100100000111010000000000000000000011000000000100010000000001000100000110100100000100000000000000000100000000000000000001001000010000000000000000010001000100000000001000001100000100011001000000010000010011100110110100000100011010100011010100000000111000101000000001001011110000000010101000010001011100110000111100010001110110000101100110011100010000000000000000000000000100000000000000010000000000000000000010000000000000000000000000100000000000000010000000000000000000000000000000000000000000000000000000000000
988,00000000011000000000000000000000000001110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001100000000010000000000000000000000000000000000000100000000010100000000001000000100000001100000000000010000000000000000000000000000000100000000000000000100000010000100000000000000000000000100000000000000000001000000000010100000000000000001000101001000000000000000000001010001000000010000010000000100010100000010001001000010000100000000010000000000000001000001000000000000000000010001000100000000111000000000000000000000000000000000000000000000000000100000000000000000000100000000000000000000100000000000000000000100000000000000000000100000000000000000000100000000000000000000000000000000000000000000
989,11000000011110110011000111000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000110000000000000000000000000000000000000000000000000000000000000000000010100000000000000000000000001111100000010000100000000000000000000000000000000110000001110100000011001100000111000001100011100011010000010110000000000010000000000100010000000001000100101010100100101000000000000100000100000100000000000001001010010011101000000000010001000100000000001000001000110111111001000100011000010011000110011110001011011011110011011100001100011100100101000111011001101010100110011010010001110100100100111101110001100100000000000100011100000000001000000000000000000000000000010100000000000100000000000000000001000000000000000000000000000010100000000000100000000000000000000000000000000000000000000000000000
990,11100000011110111011100000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000100000000000000000000000000000000000000000000000000000000000000000000011100000000000000000000000001111000000100000100000100000000000000000000000000110000001000100000011101101000000110001100111101010110010111110010000001010000000010101010000000001000100101011100101111010001110000110000101000100000111001001001010010001010100000000010011001100010110101001111100110110011011000100011000010110100110010110001001111110111011001100001000010010100101000011010111001011100001110010010001110100110100111000111001000100000000000100011100000000000000000000000000100000000000000000001000000000100000000000000000000000000000000100000000000000000001000000000100000000000000000000000000000000000000000000000000
991,11100000011000110011000000000000011001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000100000100000000000000000000000000000000100000101000110001010100000000000100100000100000000000000011110000000000000000001000000010000000000000000000000000000001000000000000000000000000000000000000010000000000000000010000000000000000000010000000000010000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
992,00000000000000110011110000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000010000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
993,11000000011100100011100000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000100000000000000000000000000000000000000000000000000000000000000101100011111000000000000000000000001110000000000000000000000000000000000000000000000110000001000100000010001111000000000001100101100000011110010000010000001000000000000101000000000001100100100011000100100010000110000100000101000000000100000001000010000001000100000000010001001100000100000001100000110010010011000000010000010000011100010110000001001000110010001100001000010000000001000011000001000000000000000110010001100100000000111000100001000000010000000000011100000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000
994,10000000011000000011000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001101000000010000000000000100000000000000000000000100000000110100000001001000000100000001100000000011010000000000000000000001000000000100000000000000000100000010000100000000000000000000000100000000000000000001000000010010101000000000010001000100000000000000001100000101110001000000010000010011000100010100000110001001100010010100000000111000000000000001001001100000000010001000010001001100000000111110000000100000000000000000000000000000100000000000000000000000100000000000000000000100000000000000000100000000000000000000000100000000000000000000100000000000000000000000000000000000000000000000000000
995,11000000000000110011000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
996,11000000011100111000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000001011000000000000000000000000000000000000000000000000000000000000000000000000011000000000000000000000000001110000000010000100000000000000000000000000000000100000101000110000010000000000000100000000110001000000000110110010000001000000000000001000000000000000000000000000000010010000000000000000000000000000001001000000000000000010000000000000010000000010000000000010000000000000000000100000000000100000000000000000000000100000000000000001000000000000000000000010000001000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
997,11110000011111000011110000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000110000011000001100000110000000000000000000000000000000000000000000000010101010000000000000000000001101000000000000000000000000000100000000000000000110100000100101000001001000000000010001100100000011010000000000000000000000100010000100000000100000000100000010000100000000010000000000000100000000000000000001000000010000000000000000010001000100000000000000001100000100010001000000010000010011000100010100000000001000100010010100000000011000000000000001001001100000000010001000010001000100000000111100000001100000011100000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
998,00000000010000000011000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101000000000010000000000000000000000000000010000000000000000000000001000000000000000000000000000100000000000000000000000000000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
999,11110000011111110011100000100000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000110000011000001100000100000000000000000000000000000000000000000000000010101010000000000000000000001110000000100000000000000000000000000000000000000110000001000110000010101100000000100001100101100000110000011000000000000000000000010101000000000001100100100011000100100010001110000110000100000000001000000001000010000001000000000000010001000100000011000000110000110010010011000000010000010000000100010110000001001000110010001100001000010000000001000011000001000000000000000110010001100100000000111000100001000000011000000000011100000100000000000000000001000000000000000000000000000000000000000000100000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000
1000,11000000011100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001110000000000000100000000000000000000000000000000110000001000100000010001100000000000001100101100000010000000010000000000000000000000100000000000001000100100010000100100000000000000100000100000000000000000001000000000001000000000000010001000100000000000000000000110010010001000000010000010000000100010100000001001000110010001100000000010000000000000011000001001000000000000000010001100100000000111000100001000000010000000000011100000100000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1001,11000000011110000011100000000000000001110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000110000000000000000000000000000000000000000000000000000000000000000000010100000000000000000000000001101000000010000000000000100000000000000000000000100000000110101000001001000000100010001100000000111010000000000000000000011000000000100010000000000000100000110100100000100000000010000000100000100000000000001000000010010101000000000010001000101001000000010001100000101110001000000011010010011000100011100001010011001100011110100000100011100000100000101001001100000000010001000010111010100000000111100000000100000000000000000000000000000000100000000100000000000100000000100000000000100000000100000000000100000000100000000000100000000100000000000100000000100000000000000000000000000000000000000000000
1002,11100000011100110011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001110000000000000001000000000000000000000000000000110100001000110000010001100000000100001100101100000010000011000100000100000000000000100000010000001000100100010000100100001100000000100000100000000000000000001000010000001000000000001000001000100000000000000010000111010010001010000010000110000000100010110000001101000111010001100101000010000000001000011000001000000010000000110010001100100000000111000100001000000011000000000011101000100000000000000000000100000000000100000000000000000000100000000100000000000000000000100000000000100000000000000000000100000000000000000000000000000000000000000000000
1003,11000000011000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001110000000000000100000000000000000000000000000000110000001000100000010001100000000000001100101100000010000000010000000000000000000000100000000000001000100100010000100100000000000000100000100000000000000000001000000000001000000000000010001000100000000000000000000110010010001000000010000010000000100010100000001001000110010001100000000010000000000000011000001001000000000000000010001100100000000111000100001000000000000000000011100000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000
1004,10000000011000110000000000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100010000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000001110000000100000000000000000000000000000000000000000000000000110000010000000000000100000000010000000000000011000000000000000000000000001001000000000000000000000000000010010000000000000000000001000000000001000000000000000000001000000000010000000000000000000010000000000000000000000000000100000000000000000000000000100000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1005,11000000011110110011100000100000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000110000011000000000000000000000000000000000000000000000000000000110000010101010000000000000000000001111000000100000010000000100000000000000000000000110000001100100000011101100000000000001100001100011111000000000000000000001000000010100000100000001000100100010000100100000001110000110000100000000001000000001000000010001000000000000010001000100000011000000001100110110010001000000010000010011000100010100000101001000110010011100000000111000000000000011001001100000000010001000010001101100000000111101100001100000010110000000011101000000001000100000000010100000000000000000110100000000000000000000000001000100000000010100000000000000000110100000000000000000000000000000000000000000000000000000000000
1006,10000000011100000011000000000000010001110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001101000000110000000000000000000000000000000000000110000000010000000001101100000100010100000100000100010000000000000000000010000001000100010000000001000000000110100000000100000000000000000100000000000000000001001000000010000010000000000001000101001000001000000000000101011001000000010000010011000110010101000010011011000011000100000000011000100000000001001001100000000000001000010001010110100000111100010001100100000110000100011100100000000000000000100000010000000000000100000010000000000000100100000000000000000100000010000000000000100000010000000000000100000000000000000000000000000000000000000000
1007,11000000011100000011000000000000010001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000110000000000000000000000000000000000000000000000000000000000000000000010100000000000000000000000001101000000110000000000000000000000000000000000000100000000110100000001101000000100000001100000000011110000000000000000000000000000010100000000000000000100000010000100000000001110000010000100000000001000000001000000010010100000000000010001000100000011000000001100000101010001000000010000010011000100010100000010001001100010010100000000011000000000000001001001100000000010001000010001000100000000111100000000100000000000000000000000000000000100010000000000000000000000000000000000000000000000000000000000100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1008,00000000000000100010000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1009,11000000011000110000000000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010000000100000000000000000000000000000000000000000000000000000000000000000000000100100000110000000000000011000000000000000000001000000001000000000000000000000000000000000000000000000000000000000000000000010000000000000000001000000000000000000000000000000010000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1010,11000000011100110010000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000001011000000000011111000000000000000000000001111000000100000100000000000000000000000000000000100000001000100000010101011000000100001100111101000110110010110010000001000000001000101011000000000100100100011000100111010000000000100000111111000010101001011000010000101000111001010010011001100010111100001110000110010010011000100010000010000010100010111000001001000110010001100001000010000000001000011010001000001100000010010010001100100000100111000100000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000
1011,10000000011100000011000000000000010001110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000010000000000000000000000000001000000000000000000000000000000000010010000000000000000000000000000000100100000000000000000000000000000001101000000010000000000000000000000000000000000000110100000010101000001000000010000010000000000000000000000000000000000000000000000000100000000000000000000000010000000000000000100000000000000000000000000000001000000000000000000000000000000000100001000000000000000000001000001000000000000000000000000010000000010000000000000000000000000000000000000000000001001000000000000000000010000000000000000011110000001100000000110000000011101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100010000000000000100100010000000000000100
1012,10000000010000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000000000000000100000001000000000000000000000100000100000000000000000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1013,11000000011000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000000000000000000000000000110100000100100000001000000000000000000000100000000000000000000000000000000000000000000010000000000010000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1014,11100000011110110011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000110000000000000000000000000000000000000000000000000000000000000000000010100000000000000000000000001111000000000000100000000000000000000000000000000110000001100100000011001100000000010001100101100111010000010110000000000010000000000100010000000001000100100010000100101100000000000100000100000100000000000001000010010001000000000000010001000100000000000000001100110110010001001000011000010011000100010110001001011000110011011100011000011001000101000011001101101010000011001010010001110100000000111100100001101000000000011000011100000000000000000000000000100001000000000000000000000000000000000000000000000000000000000100001000000000000000000000000000000000000000000000000000000000000000000000000000
1015,00000000000000000011100000000000010000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1016,10000000011000100010000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011000000000000000000000000000000000000000000000000000000000000000000000000011000000000000000000000000001111000000010000000000000000000000000000000000000100000000010100000011001001000100010001100101000010010010010000010000001010000000000101000000000000000100000011000100100010000000000100000101000100000100000001000010010010101100000000000001001101001100000001001000100111110011000000011000010011011100011110001011011001010011011110001000011000000101000011001001100000000010001110010001110100000000110100100000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1017,11100000011100100010000000000000010001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000110000000000100000000000000000000000000100000000010110000011100000000000100000000100000000000000010000000000000000000000000100010000000000000000001010100000001000000000000100000000000000000000000000000000000000000000000000000000000000000000000000010000000000001000000010000000000000000000010000000001000000000000000010001000000000000000000000000000000011000000000100000000000000000000001000100001000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1018,11000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001100000000000000000000000000000000000000000000000110000000000100000000001100000000000001100100000000010000000000000000000000000000000100000000000001000100000010000100000000000000000000000100000000000000000001000000000000000000000000010001000100000000000000000000000000010001000000010000010000000100010100000000001000100010000100000000010000000000000001000001000000000000000000010001000100000000111000000001000000010000000000011101000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000
1019,
1020,11100000011100000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000000000000000000000000000100000000100100000001000000000000000000000100000000000000000000000000000000000000000000010000000000010000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000010001000100010000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1021,11100000011100100010000000000000010001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000110000000000000000000000000000000000000100000101010110001010100000010000100100000100000000000000011000000000000000000001000100010000000000000000000010000000001000000000000000000000000000000000000010000000000000000010000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1022,11000000011000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001101000000000000000000000100000000000000000000000110000000100100000001001100000000000001100100000011010000000000000000000001000000000100000000000001000100000010000100000000000000000000000100000000000000000001000000010000000000000000010001000100000000000000001100000100010001000000010000010011000100010100000100001000100010010100000000111000000000000001001001100000000010001000010001001100000000111100000001100000000100000000011100000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000
1023,00000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1024,10000000011100000011000000000000000001110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000110000010000000000000000000000000000000000000000000000000000000100100010100000000000000000000000001101000000010000000000000000000000000000000000000100000000110100000001001000000100000001100000000011010000000000000000000010000000000100000000000000000100000010000100000000000000000000000100000100000000000001000000010010100000000000000001000101001000000000001101000101010001000000011010010011000100010100001010011001000011010100000100011100000100010101001001100000000010001000010101010100000000111100000000100000000000000000000000000000000100000000000000000000100000000000000000100000000000100000000000100000000000000000000100000000000000000100000000000100000000000000000000000000000000000000000000
1025,11100000011110000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001101000000000000000000000000000000000000000000000110000000000101000001001100000000010001100100000100010000000000000000000010000000000100010000000001000100000110100100000100000000010000000100000000000000000001001000000000000000000000010001000100000000001010000000000100011001000000010010010011000110010100000000011010100011100100000100011000100000000001001001100000000000001000010101010100110000111110010111100100010100000100011101000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000
1026,11000000011000000011100000000010011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000100000000000000000000100000000000000000000000000000100001000100000000000010100000100000000000000000000000000000000100011010000000000100000000000000000000000000000011000000010000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
