,class,tax_order,family,genus,species
157904,Actinopterygii,Characiformes,Characidae,Astyanax,bimaculatus
157929,Actinopterygii,Perciformes,Gobiidae,Gobius,sp.
157954,Actinopterygii,Siluriformes,Plotosidae,Plotosus,anguillaris
157956,Actinopterygii,Perciformes,Serranidae,Epinephelus,akaara
157959,Actinopterygii,Semionotiformes,Lepisosteidae,Lepisosteus,oculatus
157960,Actinopterygii,Clupeiformes,Clupeidae,Brevoortia,sp.
157961,Actinopterygii,Gasterosteiformes,Syngnathidae,Syngnathus,sp.
157962,Actinopterygii,Perciformes,Sciaenidae,Argyrosomus,japonicus
157967,Actinopterygii,Mugiliformes,Mugilidae,Liza,parsia
158042,Actinopterygii,Cypriniformes,Catostomidae,Catostomus,platyrhynchus
158045,Actinopterygii,Cypriniformes,Cyprinidae,Hybognathus,placitus
158046,Actinopterygii,Scorpaeniformes,Cottidae,Myoxocephalus,aenaeus
158049,Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,coelestis
158051,Actinopterygii,Siluriformes,Mochokidae,Synodontis,sp.
158052,Actinopterygii,Cypriniformes,Cyprinidae,Barbus,sp.
158054,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Aplocheilichthys,johnstonii
158056,Actinopterygii,Perciformes,Gobiidae,Pomatoschistus,microps
158117,Actinopterygii,Synbranchiformes,Mastacembelidae,Macrognathus,aculeatus
158122,Actinopterygii,Siluriformes,Trichomycteridae,Trichomycterus,brasiliensis
158129,Actinopterygii,Perciformes,Centrarchidae,Micropterus,punctulatus
158132,Actinopterygii,Perciformes,Gerreidae,Eucinostomus,argenteus
158141,Actinopterygii,Siluriformes,Clariidae,Clarias,ngamensis
158142,Actinopterygii,Perciformes,Belonidae,Belone,belone
158149,Actinopterygii,Characiformes,Hepsetidae,Hepsetus,odoe
158150,Actinopterygii,Perciformes,Labridae,Ctenolabrus,rupestris
158152,Actinopterygii,Pleuronectiformes,Bothidae,Paralichthys,orbignyanus
158168,Actinopterygii,Perciformes,Sillaginidae,Sillago,japonica
158269,Actinopterygii,Perciformes,Cichlidae,Oreochromis,mossambicus X urolepis
158270,Actinopterygii,Siluriformes,Ictaluridae,Platycephalus,bassensis
158281,Actinopterygii,Perciformes,Gobiidae,Bathygobius,fuscus
158284,Actinopterygii,Perciformes,Haemulidae,Orthopristis,ruber
158288,Actinopterygii,Perciformes,Sparidae,Acanthopagrus,australis
158291,Actinopterygii,Perciformes,Cichlidae,Cichlasoma,managuense
158294,Actinopterygii,Pleuronectiformes,Pleuronectidae,Hippoglossus,hippoglossus
158299,Actinopterygii,Perciformes,Nototheniidae,Trematomus,bernacchii
158369,Actinopterygii,Cypriniformes,Cyprinidae,Opsopoeodus,emiliae
158370,Actinopterygii,Perciformes,Haemulidae,Parapristipoma,trilineatum
158374,Actinopterygii,Scorpaeniformes,Scorpaenidae,Sebastes,schlegelii
158466,Actinopterygii,Siluriformes,Ariidae,Nemapteryx,nenga
158470,Actinopterygii,Perciformes,Channidae,Channa,stewartii
158474,Actinopterygii,Perciformes,Cichlidae,Tilapia,macrochir
158483,Actinopterygii,Perciformes,Cichlidae,Tilapia,pangani
158494,Actinopterygii,Cypriniformes,Cyprinidae,Garra,gotyla
158525,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Aphyosemion,gardneri
158528,Actinopterygii,Perciformes,Serranidae,Epinephelus,adscensionis
158533,Actinopterygii,Perciformes,Serranidae,Cephalopholis,cruentata
158534,Actinopterygii,Perciformes,Lutjanidae,Ocyurus,chrysurus
158538,Actinopterygii,Siluriformes,Bagridae,Chrysichthys,auratus
158541,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Fundulus,sp.
158562,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Lampetra,fluviatilis
158564,Actinopterygii,Pleuronectiformes,Pleuronectidae,Microstomus,kitt
158565,Actinopterygii,Cypriniformes,Cyprinidae,Notropis,ludibundis
158571,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,transmontanus
158682,Actinopterygii,Esociformes,Esocidae,Esox,americanus
158683,Actinopterygii,Perciformes,Teraponidae,Pelsartia,humeralis
158686,Actinopterygii,Cypriniformes,Cyprinidae,Phoxinus,neogaeus
158689,Actinopterygii,Characiformes,Characidae,Paracheirodon,axelrodi
158711,Actinopterygii,Perciformes,Percichthyidae,Macquaria,novemaculeata
158722,Actinopterygii,Cypriniformes,Catostomidae,Myxocyprinus,asiaticus
158731,Actinopterygii,Salmoniformes,Salmonidae,Coregonus,artedii
158753,Actinopterygii,Cypriniformes,Cyprinidae,Acrossocheilus,paradoxus
158766,Actinopterygii,Cypriniformes,Cyprinidae,Orthodon,microlepidotus
158768,Actinopterygii,Cypriniformes,Catostomidae,Catostomus,latipinnis
158810,Actinopterygii,Siluriformes,Bagridae,Hemibagrus,nemurus
158813,Actinopterygii,Siluriformes,Loricariidae,Hypostomus,plecostomus
158816,Actinopterygii,Cypriniformes,Cyprinidae,Puntius,tetrazona
158818,Actinopterygii,Characiformes,Characidae,Hyphessobrycon,herbertaxelrodi
158820,Actinopterygii,Perciformes,Cichlidae,Pterophyllum,scalare
158832,Actinopterygii,Perciformes,Gobiidae,Periophthalmus,dipus
158855,Actinopterygii,Characiformes,Characidae,Hyphessobrycon,sovichthys
158856,Myxini,Myxiniformes,Myxinidae,Myxine,glutinosa
158860,Actinopterygii,Cypriniformes,Catostomidae,Deltistes,luxatus
158868,Actinopterygii,Cypriniformes,Catostomidae,Chasmistes,brevirostris
158876,Actinopterygii,Cypriniformes,Cyprinidae,Carassius,cuvieri
158880,Actinopterygii,Atheriniformes,Atherinidae,Austromenidia,laticlavia
158883,Actinopterygii,Osmeriformes,Galaxiidae,Galaxias,fasciatus
158889,Actinopterygii,Perciformes,Eleotridae,Gobiomorphus,cotidianus
158900,Actinopterygii,Osmeriformes,Retropinnidae,Retropinna,retropinna
158909,Actinopterygii,Perciformes,Eleotridae,Gobiomorphus,huttoni
158912,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,dieffenbachii
158915,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,australis
158925,Actinopterygii,Cypriniformes,Cyprinidae,Leuciscus,leuciscus
158944,Actinopterygii,Gadiformes,Gadidae,Gadus,ogac
158948,Actinopterygii,Gadiformes,Gadidae,Eleginus,navaga
158956,Actinopterygii,Perciformes,Anarhichadidae,Anarhichas,lupus
158964,Actinopterygii,Perciformes,Cichlidae,Heros,severus
158968,Actinopterygii,Characiformes,Characidae,Macropsobrycon,uruguayanae
158971,Actinopterygii,Siluriformes,Pimelodidae,Lophiosilurus,alexandri
158974,Actinopterygii,Siluriformes,Trichomycteridae,Trichomycterus,zonatus
159014,Actinopterygii,Pleuronectiformes,Soleidae,Solea,senegalensis
159046,Actinopterygii,Perciformes,Centrarchidae,Enneacanthus,chaetodon
159052,Actinopterygii,Characiformes,Characidae,Aphyocharax,rubripinnis
159058,Actinopterygii,Cypriniformes,Cyprinidae,Puntius,cumingii
159064,Actinopterygii,Perciformes,Sparidae,Sparus,sp.
159074,Actinopterygii,Siluriformes,Clariidae,Clarias,albopunctatus
159079,Actinopterygii,Characiformes,Characidae,Paracheirodon,innesi
159080,Actinopterygii,Perciformes,Gobiidae,Apocryptes,bato
159109,Actinopterygii,Cypriniformes,Cyprinidae,Danio,aequipinnatus
159119,Actinopterygii,Characiformes,Characidae,Piaractus,mesopotamicus
159175,Actinopterygii,Characiformes,Curimatidae,Prochilodus,scrofa
159343,Actinopterygii,Perciformes,Percidae,Etheostoma,rubrum
159374,Actinopterygii,Perciformes,Percidae,Etheostoma,lepidum
159415,Actinopterygii,Acipenseriformes,Acipenseridae,Scaphirhynchus,platorynchus
159444,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poeciliopsis,occidentalis
159491,Actinopterygii,Beloniformes,Adrianichthyidae,Oryzias,sp.
159495,Actinopterygii,Salmoniformes,Salmonidae,Salmo,sp.
159497,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Aphanius,iberus
159515,Actinopterygii,Perciformes,Teraponidae,Hephaestus,carbo
159521,Actinopterygii,Perciformes,Percidae,Etheostoma,fonticola
159644,Actinopterygii,Cypriniformes,Cyprinidae,Gobiocypris,rarus
160074,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Fundulus,kansae
160075,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,confluentus
160306,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Cyprinodon,bovinus
160330,Actinopterygii,Siluriformes,Mochokidae,Synodontis,eupterus
160331,Actinopterygii,Scorpaeniformes,Cottidae,Taurulus,bubalis
160333,Actinopterygii,Gadiformes,Gadidae,Pollachius,pollachius
160334,Actinopterygii,Scorpaeniformes,Cottidae,Myoxocephalus,octodecemspinosus
160361,Actinopterygii,Cypriniformes,Cyprinidae,Erimonax,monachus
160427,Actinopterygii,Gadiformes,Gadidae,Melanogrammus,aeglefinus
160437,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,brevirostrum
160453,Actinopterygii,Cypriniformes,Cyprinidae,Notropis,mekistocholas
160468,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,oxyrhynchus
160484,Actinopterygii,Siluriformes,Ictaluridae,Ictalurus,platycephalus
160485,Actinopterygii,Pleuronectiformes,Pleuronectidae,Limanda,punctatissima
160490,Actinopterygii,Cypriniformes,Cyprinidae,Pogonichthys,macrolepidotus
160523,Actinopterygii,Perciformes,Gobiidae,Boleophthalmus,boddarti
160574,Actinopterygii,Perciformes,Gobiidae,Periophthalmodon,schlosseri
160615,Actinopterygii,Characiformes,Erythrinidae,Hoplias,malabaricus
160654,Actinopterygii,Siluriformes,Heptapteridae,Rhamdia,quelen
160753,Actinopterygii,Perciformes,Cichlidae,Aulonocara,jacobfreibergi
160757,Actinopterygii,Characiformes,Characidae,Brycon,cephalus
160823,Actinopterygii,Osmeriformes,Galaxiidae,Galaxias,truttaceus
160829,Actinopterygii,Perciformes,Labridae,Symphodus,melops
160831,Actinopterygii,Perciformes,Siganidae,Siganus,guttatus
160844,Actinopterygii,Perciformes,Serranidae,Epinephelus,coioides
160868,Actinopterygii,Atheriniformes,Atherinopsidae,Odontesthes,regia
160871,Actinopterygii,Cypriniformes,Cyprinidae,Onychostoma,barbata
160874,Actinopterygii,Cypriniformes,Cyprinidae,Candidia,barbatus
160877,Actinopterygii,Atheriniformes,Atherinopsidae,Odontesthes,bonariensis
160936,Actinopterygii,Cyprinodontiformes,Rivulidae,Cynopoecilus,melanotaenia
160939,Actinopterygii,Mugiliformes,Mugilidae,Liza,carinata
160942,Actinopterygii,Gymnotiformes,Apteronotidae,Apteronotus,leptorhynchus
160943,Actinopterygii,Gadiformes,Gadidae,Theragra,chalcogramma
160954,Actinopterygii,Cypriniformes,Cyprinidae,Barbonymus,gonionotus
160957,Actinopterygii,Tetraodontiformes,Tetraodontidae,Takifugu,rubripes
160969,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,paleatus
161004,Actinopterygii,Pleuronectiformes,Bothidae,Paralichthys,sp.
161006,Actinopterygii,Perciformes,Cichlidae,Tilapia,guineensis
161045,Actinopterygii,Cyprinodontiformes,Poeciliidae,Gambusia,yucatana
161059,Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,amboinensis
161065,Actinopterygii,Perciformes,Eleotridae,Hypseleotris,klunzingeri
161068,Actinopterygii,Characiformes,Anostomidae,Leporinus,obtusidens
161151,Actinopterygii,Tetraodontiformes,Tetraodontidae,Sphoeroides,sp.
161195,Actinopterygii,Siluriformes,Clariidae,Clarias,submarginatus
161202,Actinopterygii,Perciformes,Scombridae,Thunnus,albacares
161203,Actinopterygii,Perciformes,Gobiidae,Boleophthalmus,sp.
161209,Actinopterygii,Siluriformes,Clariidae,Heterobranchus,longifilis
161213,Actinopterygii,Perciformes,Siganidae,Siganus,rivulatus
161219,Actinopterygii,Perciformes,Mullidae,Parupeneus,barberinus
161225,Actinopterygii,Siluriformes,Callichthyidae,Hoplosternum,littorale
161230,Actinopterygii,Perciformes,Pomacentridae,Amphiprion,clarkii
161240,Actinopterygii,Characiformes,Characidae,Astyanax,sp.
161243,Actinopterygii,Cyprinodontiformes,Anablepidae,Jenynsia,multidentata
161299,Actinopterygii,Characiformes,Characidae,Metynnis,lippincottianus
161301,Actinopterygii,Cypriniformes,Balitoridae,Nemacheilus,angorae
161312,Actinopterygii,Pleuronectiformes,Paralichthyidae,Citharichthys,sordidus
