,acc_train,acc_test,rmse_train,rmse_test,auc_train,auc_test,recall_train,recall_test,precision_train,precision_test
k = 17,0.618176,0.5965960763934001,0.6179190885544805,0.6351408691043271,0.5213454310629135,0.49504056824732035,0.8915381493506493,0.866734693877551,0.6421368021046477,0.6339752201821167
k = 19,0.6224,0.5958165519033389,0.6144916598294886,0.6357542356104763,0.5222497515972068,0.48829055183031383,0.9051339285714286,0.8818367346938776,0.6424456286907677,0.6305267765941923
k = 21,0.626816,0.6008834610887359,0.6108878784196,0.6317567086396979,0.524600089793635,0.4918098108031199,0.9153814935064936,0.8910204081632653,0.6435551751194807,0.6323870220162224
k = 23,0.628032,0.6045212420423541,0.6098917936814694,0.6288710185384964,0.522688800544446,0.4937462879324057,0.9254261363636364,0.8991836734693878,0.6424144245668404,0.6334100057504313
k = 25,0.626368,0.6115369624529037,0.6112544478365781,0.6232680302623392,0.5184586983046422,0.4969548276943956,0.9310064935064936,0.9163265306122449,0.6401562718013115,0.635077793493635
k = 27,0.627648,0.6125763284396518,0.6102065224167962,0.6224336684019818,0.5177122676086697,0.4964668777772103,0.9380073051948052,0.9214285714285714,0.639703847218378,0.6348425196850394
k = 29,0.62912,0.615954267896583,0.6089991789813841,0.619714234226887,0.5171539680851303,0.4984294397058073,0.945211038961039,0.9285714285714286,0.6393521378079747,0.635830072666294
k = 31,0.630272,0.6177731583733922,0.6080526293011157,0.6182449689456501,0.5164138951921713,0.4992442339824739,0.9517045454545454,0.9330612244897959,0.6389210544240855,0.6362371277483997
k = 33,0.630976,0.6185526828634533,0.6074734562102282,0.6176142138394701,0.5159296821007039,0.49793842528073085,0.955762987012987,0.9393877551020409,0.6386440677966102,0.6355979011322839
k = 35,0.632192,0.6219306223203845,0.6064717635636468,0.6148734647710986,0.5156716150951233,0.500054431497304,0.961140422077922,0.9461224489795919,0.6384713890948305,0.636638286185114
k = 37,0.631488,0.6230999090554762,0.607051892345292,0.6139218931953183,0.5136041155931952,0.5001288552603738,0.9642857142857143,0.950204081632653,0.6374245472837022,0.6366744154245864
k = 39,0.632128,0.6251786410289724,0.6065245254727957,0.6122265585312578,0.5132848096661962,0.5009175647377292,0.9676339285714286,0.9557142857142857,0.6372444206868902,0.6370561828322677
k = 41,0.631872,0.6255684032740029,0.6067355272274733,0.6119081603688556,0.5116083634146231,0.4999194107389112,0.971387987012987,0.9597959183673469,0.6363998936453071,0.6365728207904711
k = 43,0.632256,0.6253085617773159,0.6064189970639112,0.6121204442123169,0.5115174107775999,0.49879466337840106,0.9731128246753247,0.9618367346938775,0.6363455414012739,0.6360323886639676
k = 45,0.632256,0.6262180070157204,0.6064189970639112,0.6113771282803108,0.5107626788837787,0.4983581169328654,0.9752435064935064,0.9663265306122449,0.6359666534339024,0.6358265073183832
k = 47,0.631808,0.6277770559958425,0.6067882662016464,0.6101007654512142,0.509293437213679,0.49919899600884327,0.9776785714285714,0.9697959183673469,0.6352429296591733,0.6362297496318114
k = 49,0.63136,0.6282967389892166,0.6071573107523288,0.6096747173786883,0.5080757728415197,0.4988399378342685,0.9794034090909091,0.9726530612244898,0.6346482577251809,0.6360603229681036
k = 51,0.632192,0.6290762634792776,0.6064717635636468,0.6090350864447157,0.5080524169289282,0.4992220163002634,0.9826501623376623,0.9744897959183674,0.6346242054911212,0.6362425049966689
