,acc_train,acc_test,rmse_train,rmse_test,auc_train,auc_test,recall_train,recall_test,precision_train,precision_test
k = 27,0.6082508617813855,0.5992099322799097,0.6258986644965896,0.633079827288858,0.5186232720121637,0.4981761210589857,0.9053895459059312,0.8810501875334881,0.6257565358457603,0.6309797902276797
k = 29,0.6107528077393528,0.605079006772009,0.6238967801332582,0.6284273969425513,0.5192385064179162,0.5018594243430358,0.9141464295386837,0.8930166101089481,0.6259891196834817,0.6329113924050633
k = 31,0.6108084065384187,0.6091422121896163,0.6238522208516863,0.6251862025112068,0.5174047199413706,0.5044340287470837,0.9204658300984021,0.9012323629219503,0.6249463683726632,0.6342383107088989
k = 33,0.6117535861225397,0.6095936794582393,0.623094225520876,0.6248250319423516,0.5162659198737954,0.5018460605863436,0.9283199422226235,0.9101625290230398,0.6242714910150559,0.6328862394436164
k = 35,0.6127543645057266,0.6116252821670429,0.6222906358722372,0.623197174121447,0.5162342594979789,0.5026211584744922,0.9327435226144263,0.9156992320057153,0.6242145964233929,0.6332756916996047
k = 37,0.611531190926276,0.613431151241535,0.6232726602970196,0.6217466113767449,0.5140158249351344,0.5032176530406189,0.934819897084048,0.9208787283443473,0.6230445246690735,0.633570901941509
k = 39,0.6121427777160013,0.6193002257336343,0.6227818416460122,0.6170087311103188,0.5130418861806746,0.5081174415701231,0.9406879118895007,0.9294516878013931,0.6224983571300555,0.6360303104375459
k = 41,0.6126431669075948,0.6198645598194131,0.6223799748484885,0.616551247002702,0.5123316706474722,0.5067712347766136,0.9452017694321567,0.9353455974281122,0.6221033868092691,0.6353269440737596
k = 43,0.6130879573001223,0.6203160270880361,0.6220225419547732,0.616185015163436,0.5119303169109539,0.506360134949844,0.948451746862869,0.9382032505804608,0.6218775896768083,0.6351106274936525
k = 45,0.6141999332814411,0.6221218961625282,0.6211280598383548,0.6147179059027578,0.5122067800688278,0.5071487061336741,0.9523336643495531,0.9428469369530273,0.6219929245283019,0.6354881425303961
k = 47,0.616201490047815,0.6216704288939052,0.6195147374777981,0.6150850112838833,0.5132326912313813,0.5046786566948943,0.9575697390990341,0.9480264332916593,0.6224765258215963,0.6342454295614769
k = 49,0.6162570888468809,0.6220090293453725,0.6194698629902177,0.6148097027980508,0.5126242906582958,0.5041782552071139,0.959826667870362,0.9507054831219861,0.6221546023757973,0.6339923773225346
k = 51,0.616090292449683,0.6249435665914221,0.6196044767029342,0.6124185116475317,0.5116174894006668,0.5059878940795216,0.9624447052451025,0.9567779960707269,0.6216326530612245,0.634866082009955
