,train_acc,test_acc,train_rmse,test_rmse,sample_rate,nbins_cats,nbins,min_split_improvement,min_rows,max_depth,histogram_type,col_sample_rate_per_tree
mod23,0.7802596392662646,0.7024348002929376,0.6601675763014107,0.742699351731034,0.4,64,64,0.0001,8,15,UniformAdaptive,0.56
mod24,0.45507608666019683,0.4534086137805839,1.238427591845366,1.220681209886425,0.8,1024,16,0.0,4096,23,QuantilesGlobal,0.81
mod25,0.8082397517270679,0.7075502051227607,0.6163124358522563,0.734478844028892,0.2,64,32,0.0001,2,20,UniformAdaptive,0.79
mod26,0.8483264947722379,0.7197258755713758,0.5524074691275034,0.714075816327244,0.6,512,1024,1e-08,8,20,QuantilesGlobal,0.56
mod27,0.8498137091293115,0.7173354887951682,0.5436377668084749,0.7217922327403616,0.6,1024,16,0.0,4,15,RoundRobin,0.87
mod28,0.697917790543401,0.675247654807145,0.7716916155962007,0.7970463725809703,0.6,256,16,1e-08,128,20,RoundRobin,0.58
mod29,0.6914127451519675,0.6728010016376131,0.7964744991640846,0.8149852292218561,0.4,2048,256,1e-08,128,17,RoundRobin,0.95
mod30,0.8456438030603376,0.7156678956878864,0.5545722437920988,0.7210832745145611,0.8,64,128,0.0001,8,15,UniformAdaptive,0.5
mod31,0.6366198488624769,0.6263215455162051,0.9053949450001652,0.9229955106113958,0.6,1024,32,0.0,512,20,RoundRobin,0.82
mod32,0.8087123175614895,0.7201154905970528,0.6123211938468234,0.7187299854811318,0.4,16,16,1e-08,8,17,QuantilesGlobal,1.0
mod33,0.41508656191106663,0.413377524318873,1.2407509356438338,1.2326377119978538,0.4,4096,512,1e-06,4096,17,RoundRobin,0.4
mod34,0.7460245604706108,0.6790837061889787,0.7168307883425481,0.7856429147471397,0.6,256,1024,0.0001,32,20,QuantilesGlobal,0.2
mod35,0.5795897947249228,0.5679409358951,1.0131384132765258,1.0207735521403971,0.4,128,1024,1e-06,1024,15,RoundRobin,0.52
mod36,0.9491826524033848,0.7207270341243853,0.3156591541318006,0.7145892795476497,0.6,512,64,0.0001,2,17,QuantilesGlobal,0.32
mod37,0.6975979540869196,0.6741362351400547,0.7731277243298418,0.7939842104243449,0.6,16,32,0.0,128,15,RoundRobin,0.88
mod38,0.819498519173156,0.7218943492994826,0.5962021800132342,0.717861043357534,0.8,512,128,0.0,16,17,QuantilesGlobal,0.95
mod39,0.7265372725779217,0.6987658327464845,0.7276693065286248,0.7539337258206412,0.8,16,1024,0.0001,128,20,UniformAdaptive,0.9
mod40,0.8539419533884278,0.7216162780329416,0.537091751599758,0.7161400275990378,0.2,128,16,1e-08,1,17,QuantilesGlobal,0.72
mod41,0.7309571746233035,0.6900928650473505,0.729273873131669,0.7738657102326167,0.2,64,128,0.0,16,17,QuantilesGlobal,0.35
mod42,0.7215889052647,0.6900926177904724,0.7373668854862756,0.7668528615529037,0.6,256,16,0.0,64,15,RoundRobin,0.76
mod43,0.9058016905579167,0.720115598771937,0.4412788799663766,0.7158571568435239,0.6,256,256,0.0001,4,23,RoundRobin,0.36
mod44,0.6672830365564557,0.6570657748111074,0.8268619091493082,0.8381549544875206,0.2,32,256,0.0,128,17,RoundRobin,0.89
mod45,0.5591852939665457,0.5529283482019711,1.0599805198977121,1.067798753656875,0.2,16,64,0.0,512,23,RoundRobin,0.54
mod46,0.773448812458734,0.7084392944957683,0.6628621522617794,0.7370692921186918,0.6,16,32,0.0,16,15,RoundRobin,0.89
mod47,0.5547935928104966,0.5509244084726896,1.0086250102395125,1.0127857271674476,0.4,2048,512,0.0,1024,20,UniformAdaptive,0.62
mod48,0.5439647565780805,0.5317468095749608,1.1205659879385288,1.1297890891309632,0.2,128,32,1e-06,512,15,RoundRobin,0.41
mod49,0.8201656336612894,0.7126097762587963,0.5999597680281327,0.7268708196260519,0.8,16,32,0.0001,16,20,QuantilesGlobal,0.41
mod50,0.7728093250270932,0.7051594165541262,0.6678444143292,0.7420383228672293,0.4,1024,1024,1e-08,16,20,QuantilesGlobal,0.41
mod51,0.7073834231053272,0.6843098666466387,0.7532568213498261,0.7694282820287068,0.4,16,128,1e-08,64,17,UniformAdaptive,0.91
mod52,0.48778223229205475,0.48793477610812425,1.1170092979794852,1.1225519457535693,0.4,512,32,0.0,2048,23,UniformAdaptive,0.29
mod53,0.7835676889836826,0.688424561076544,0.6604952952990681,0.7742458242697733,0.2,16,128,1e-06,4,17,QuantilesGlobal,0.2
mod54,0.7689173888024501,0.6972089179992653,0.6779369496122591,0.7544044093929154,0.4,4096,256,0.0,16,23,QuantilesGlobal,0.31
mod55,0.7419657509511762,0.6922054432674503,0.7171977672449589,0.7681378211098602,0.8,4096,128,0.0001,64,17,QuantilesGlobal,0.37
mod56,0.7564910724651759,0.7018236121973672,0.6885181011211235,0.7479894801796195,0.8,16,32,0.0001,32,23,RoundRobin,0.94
mod57,0.8007060984114046,0.7197260919211443,0.6259782516763346,0.7167631401060939,0.6,512,512,0.0001,16,17,QuantilesGlobal,0.92
mod58,0.684671378201381,0.665351028271815,0.8026156922525247,0.814699623226374,0.6,16,64,1e-08,128,17,RoundRobin,0.45
mod59,0.6406787607830581,0.6265435049249707,0.8710783884092205,0.8746400937824342,0.8,256,32,0.0001,512,23,RoundRobin,0.36
mod60,0.7762981562403075,0.707883600115778,0.662800396487466,0.7395894768930373,0.8,128,1024,0.0,32,17,RoundRobin,0.51
mod61,0.8347047744998269,0.7193926351139075,0.5756318267314267,0.7183556627253604,0.6,2048,512,0.0,8,15,RoundRobin,0.6
mod62,0.5112439617859788,0.5028949917037591,1.1461477506944528,1.149080339075296,0.2,64,64,0.0,1024,20,RoundRobin,0.31
mod63,0.975550390222754,0.7263982878697476,0.20650037309042454,0.7095113088415402,0.8,4096,32,1e-08,2,17,QuantilesGlobal,0.46
mod64,0.7765762362141733,0.7132207016439337,0.6607359267654036,0.7305444680019957,0.4,64,1024,0.0,16,23,QuantilesGlobal,0.89
mod65,0.7482902978990394,0.7046030576712761,0.7047066113009931,0.7486392694291292,0.8,128,128,1e-08,64,23,QuantilesGlobal,0.84
mod66,0.45371385193640473,0.45752321548915986,1.182252382034281,1.1700772869954186,0.8,32,16,1e-08,4096,15,RoundRobin,0.59
mod67,0.4407314461729436,0.4407328044817782,1.2046650513998167,1.198240058441293,0.4,64,128,0.0,4096,23,QuantilesGlobal,0.34
mod68,0.7370036435293981,0.6938174344842678,0.7173357402841386,0.758736578673596,0.4,512,256,0.0,32,20,RoundRobin,0.44
mod69,0.9570777083465802,0.7267313119774477,0.28011727495252303,0.7046912075364229,0.8,128,256,0.0001,2,15,QuantilesGlobal,0.55
mod70,0.8537890752390107,0.719781647450944,0.544086664145752,0.716788374674386,0.4,512,1024,1e-06,4,17,QuantilesGlobal,0.54
mod71,0.4920355402306765,0.48682309373060095,1.1723170285222353,1.1691735813248347,0.2,16,512,1e-06,512,15,RoundRobin,0.21
mod72,0.6975423454341155,0.6752477320749195,0.7863956696148209,0.8061617984131264,0.6,16,16,1e-08,128,17,RoundRobin,0.42
mod73,0.9166990959505119,0.7275655257770703,0.3917162712323786,0.7046405507954342,0.4,128,256,0.0001,1,15,RoundRobin,0.86
mod74,0.6559129890116034,0.63933050255115,0.843121293069229,0.858859955894675,0.4,64,64,1e-06,256,23,UniformAdaptive,0.66
mod75,0.7366561452386761,0.6864787885278372,0.7257162145367146,0.776650470042006,0.8,32,512,0.0,64,23,QuantilesGlobal,0.34
mod76,0.8616701853053079,0.7223948899421002,0.5285296413645008,0.7114226172404041,0.4,1024,1024,0.0,4,23,QuantilesGlobal,0.74
mod77,0.4577311638742357,0.45446399885767325,1.1974919678504465,1.1952797224225882,0.4,128,256,1e-08,2048,20,RoundRobin,0.36
mod78,0.9389941942993746,0.7156121547154282,0.3338679070839367,0.719992382256542,0.4,32,256,1e-06,1,17,UniformAdaptive,0.28
mod79,0.689800181165017,0.671578285468265,0.7911191626629144,0.8059358144752853,0.8,32,256,1e-08,256,23,RoundRobin,0.43
mod80,0.43469911248926313,0.43450505277157186,1.2972974677753941,1.304611220836297,0.4,1024,1024,1e-08,2048,23,QuantilesGlobal,0.26
mod81,0.706340824865966,0.6804743406856711,0.7702661030830537,0.7913572742289642,0.6,32,64,0.0,128,15,QuantilesGlobal,0.39
mod82,0.9792616270657282,0.7307344471946621,0.17576225847500007,0.7018378726793915,0.6,4096,64,0.0001,1,17,QuantilesGlobal,0.83
mod83,0.7549761276844146,0.7030462665524958,0.692861799679574,0.7423745785579619,0.8,64,32,1e-06,32,17,RoundRobin,0.89
mod84,0.9132658125290429,0.7112752536198792,0.4180928983085743,0.7314614302512833,0.4,1024,512,0.0,2,23,QuantilesGlobal,0.23
mod85,0.6244987024325663,0.6113685930913646,0.9348548965445722,0.9397105410952726,0.6,256,64,1e-08,512,23,UniformAdaptive,0.38
mod86,0.9976231438029153,0.7254527930214218,0.05382747243103273,0.7031230811013156,0.8,2048,1024,0.0001,1,23,QuantilesGlobal,0.55
mod87,0.752098926926793,0.6982089175356587,0.6992286338198686,0.7559036977910685,0.2,16,128,1e-08,8,15,RoundRobin,0.81
mod88,0.4372010140109306,0.4366735110461237,1.2944471962496527,1.3000665283987087,0.4,128,32,1e-08,2048,15,QuantilesGlobal,0.26
mod89,0.8135493651679562,0.7155564601036346,0.6075835577411068,0.7234208495165746,0.8,32,32,1e-08,16,15,QuantilesGlobal,0.5
