,train_acc,test_acc,train_rmse,test_rmse,l1_ratio,fit_intercept,C
mod23,0.6501306107302914,0.647503686831856,0.8014966469144073,0.8036876281847116,0.1,False,0.01
mod24,0.6499777132599032,0.6475592887223203,0.8016684263368475,0.8036520758766261,0.2,False,0.01
mod25,0.6500472127248379,0.6477260943937131,0.8016694687350586,0.8026382678670737,0.3,False,0.01
mod26,0.6501028097850595,0.6477816962841774,0.8013187234622932,0.8026022281841518,0.4,False,0.01
mod27,0.6501028097850594,0.6478372981746416,0.8012842838861987,0.8024975562444314,0.5,False,0.01
mod28,0.6501445092708105,0.6478929155186608,0.8014475423490606,0.8024649567845135,0.6,False,0.01
mod29,0.6500472146569349,0.6478373136281965,0.8016330431041373,0.8026033828535051,0.7,False,0.01
mod30,0.6500472156229835,0.6478373136281965,0.8017354145935153,0.8024989677478173,0.8,False,0.01
mod31,0.6498943200846924,0.647781742644842,0.8018307704872703,0.8025338400400377,0.9,False,0.01
mod32,0.6498526177007956,0.6476705697710232,0.8018896763452525,0.8027697378934174,1.0,False,0.01
mod33,0.590709525565248,0.5911262597158432,0.8633429446559517,0.8608847748510801,0.0,True,0.01
mod34,0.5890832678400717,0.5895694067828435,0.86359342066099,0.8627880934678422,0.1,True,0.01
mod35,0.5887635753248246,0.5895694067828435,0.8642008835672657,0.8630733270009143,0.2,True,0.01
mod36,0.5887218739069764,0.5891246534733489,0.8644152227766568,0.8635320681601101,0.3,True,0.01
mod37,0.5884716818227126,0.5888466440210275,0.86456930621445,0.8635925393499093,0.4,True,0.01
mod38,0.5883048829136597,0.5886242364591704,0.8651326942775744,0.8637118614207813,0.5,True,0.01
mod39,0.5884021852559236,0.5884574616948873,0.8651629248837157,0.8638081953846889,0.6,True,0.01
mod40,0.588360484804124,0.588401859804423,0.8654015813001423,0.8637763792055504,0.7,True,0.01
mod41,0.5886245821912466,0.5884574616948873,0.865213163813614,0.8635758005099717,0.8,True,0.01
mod42,0.5888608709047487,0.5889578787090658,0.8653225238314632,0.862967294963763,0.9,True,0.01
mod43,0.5885967735176261,0.5887354711472087,0.865757673266326,0.8631958874413715,1.0,True,0.01
