,class,tax_order,family,genus,gen_spec
14866,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Aphanius,Aphanius sp.
14872,Actinopterygii,Cypriniformes,Cyprinidae,Richardsonius,Richardsonius sp.
14893,Actinopterygii,Pleuronectiformes,Soleidae,Trinectes,Trinectes sp.
14916,Actinopterygii,Perciformes,Sciaenidae,Johnius,Johnius sp.
14918,Actinopterygii,Perciformes,Sciaenidae,Aplodinotus,Aplodinotus sp.
14923,Actinopterygii,Acipenseriformes,Acipenseridae,Scaphirhynchus,Scaphirhynchus sp.
14948,Actinopterygii,Perciformes,Sparidae,Rhabdosargus,Rhabdosargus sp.
14951,Actinopterygii,Perciformes,Centrarchidae,Archoplites,Archoplites sp.
14961,Actinopterygii,Osteoglossiformes,Mormyridae,Pollimyrus,Pollimyrus sp.
14965,Actinopterygii,Anguilliformes,Congridae,Conger,Conger sp.
14969,Actinopterygii,Perciformes,Gobiidae,Zosterisessor,Zosterisessor sp.
14972,Actinopterygii,Cypriniformes,Cyprinidae,Lythrurus,Lythrurus sp.
14981,Chondrichthyes,Carcharhiniformes,Scyliorhinidae,Scyliorhinus,Scyliorhinus sp.
14987,Actinopterygii,Osteoglossiformes,Mormyridae,Gnathonemus,Gnathonemus sp.
14992,Actinopterygii,Ophidiiformes,Ophidiidae,Genypterus,Genypterus sp.
15004,Actinopterygii,Cypriniformes,Cyprinidae,Couesius,Couesius sp.
15012,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Jordanella,Jordanella sp.
15016,Actinopterygii,Siluriformes,Pimelodidae,Pimelodus,Pimelodus sp.
15017,Chondrichthyes,Rajiformes,Myliobatidae,Rhinoptera,Rhinoptera sp.
15037,Actinopterygii,Clupeiformes,Engraulidae,Encrasicholina,Encrasicholina sp.
15039,Actinopterygii,Atheriniformes,Atherinidae,Menidia,Menidia sp.
15043,Actinopterygii,Perciformes,Gobiidae,Gobiusculus,Gobiusculus sp.
15059,Actinopterygii,Cypriniformes,Cyprinidae,Hemibarbus,Hemibarbus sp.
15083,Actinopterygii,Siluriformes,Heteropneustidae,Heteropneustes,Heteropneustes sp.
15090,Actinopterygii,Perciformes,Sparidae,Pachymetopon,Pachymetopon sp.
15093,Actinopterygii,Gadiformes,Gadidae,Pollachius,Pollachius sp.
15101,Actinopterygii,Perciformes,Gobiidae,Apocryptes,Apocryptes sp.
15104,Actinopterygii,Perciformes,Gobiidae,Odontamblyopus,Odontamblyopus sp.
15110,Actinopterygii,Characiformes,Curimatidae,Semaprochilodus,Semaprochilodus sp.
15126,Actinopterygii,Cypriniformes,Cyprinidae,Moapa,Moapa sp.
15129,Actinopterygii,Perciformes,Moronidae,Dicentrarchus,Dicentrarchus sp.
15132,Actinopterygii,Cyprinodontiformes,Anablepidae,Jenynsia,Jenynsia sp.
15135,Actinopterygii,Cypriniformes,Cyprinidae,Ptychocheilus,Ptychocheilus sp.
15143,Actinopterygii,Siluriformes,Pimelodidae,Lophiosilurus,Lophiosilurus sp.
15150,Actinopterygii,Perciformes,Rachycentridae,Rachycentron,Rachycentron sp.
15151,Actinopterygii,Perciformes,Carangidae,Trachurus,Trachurus sp.
15153,Actinopterygii,Perciformes,Sparidae,Lithognathus,Lithognathus sp.
15159,Actinopterygii,Perciformes,Percidae,Etheostoma,Etheostoma sp.
15163,Actinopterygii,Gadiformes,Gadidae,Trisopterus,Trisopterus sp.
15173,Actinopterygii,Perciformes,Sparidae,Pagrus,Pagrus sp.
15179,Actinopterygii,Cyprinodontiformes,Poeciliidae,Xiphophorus,Xiphophorus sp.
15181,Actinopterygii,Cypriniformes,Catostomidae,Chasmistes,Chasmistes sp.
15187,Actinopterygii,Siluriformes,Clariidae,Heterobranchus,Heterobranchus sp.
15198,Actinopterygii,Characiformes,Characidae,Aphyocharax,Aphyocharax sp.
15199,Actinopterygii,Perciformes,Gobiidae,Periophthalmus,Periophthalmus sp.
15201,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Adinia,Adinia sp.
15215,Actinopterygii,Cypriniformes,Cyprinidae,Lepidomeda,Lepidomeda sp.
15220,Actinopterygii,Perciformes,Eleotridae,Mogurnda,Mogurnda sp.
15227,Actinopterygii,Esociformes,Umbridae,Dallia,Dallia sp.
