,class,tax_order,family,genus,gen_spec
26961,Actinopterygii,Perciformes,Eleotridae,Oxyeleotris,Oxyeleotris sp.
26962,Actinopterygii,Cypriniformes,Cyprinidae,Cyclocheilichthys,Cyclocheilichthys sp.
26963,Actinopterygii,Cypriniformes,Cyprinidae,Hampala,Hampala sp.
26964,Actinopterygii,Perciformes,Nandidae,Pristolepis,Pristolepis sp.
26968,Actinopterygii,Perciformes,Centracanthidae,Spicara,Spicara sp.
26979,Actinopterygii,Beloniformes,Adrianichthyidae,Oryzias,Oryzias dancena
26982,Actinopterygii,Aulopiformes,Synodontidae,Saurida,Saurida tumbil
26984,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras melanistius
27002,Actinopterygii,Perciformes,Glaucosomatidae,Glaucosoma,Glaucosoma sp.
27007,Actinopterygii,Aulopiformes,Synodontidae,Saurida,Saurida sp.
27020,Actinopterygii,Perciformes,Gobiidae,Tridentiger,Tridentiger obscurus
27026,Actinopterygii,Scorpaeniformes,Hexagrammidae,Hexagrammos,Hexagrammos sp.
27048,Actinopterygii,Perciformes,Gobiidae,Pseudogobius,Pseudogobius sp.
27068,Actinopterygii,Cypriniformes,Cobitidae,Cobitis,Cobitis choii
27101,Actinopterygii,Perciformes,Pomacentridae,Abudefduf,Abudefduf saxatilis
27119,Actinopterygii,Pleuronectiformes,Soleidae,Cynoglossus,Cynoglossus semilaevis
