,test_cas,smiles,pubchem2d,atom_number,alone_atom_number,bonds_number,doubleBond,tripleBond,ring_number,Mol,MorganDensity,LogP,oh_count
10,19902-04-6,CC(C)=CCC\C(C)=C\CN(CCO)C/C=C(C)/CCC=C(C)C,11110000011110100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000000000000100000000000000000000000110000000000111000011000000000000110000000100000000000000011000000000000001000000000100000000000001000100000010000100000000000000000100000000000000000000000001000000000000000000000000000000000100000000000000010000000000000001000000000100001000000000010000000000000000100000000000000000000000000000000000000001000000000000000100110000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,24,0,23,4,0,0,333.5600000000001,0.7083333333333334,5.666100000000006,1
11,91-64-5,O=C1Oc2ccccc2C=C1,10000000011100000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000100000000000000000000000000000000000000000000000000000000000000100000010000000000000000000000000001101000000000000000000000000000000000000000000000110000000100100000001001100000000000001100000000111010000000000000000000010000000000100010000000001000100000110100100000100000000000000000100000100000000000001000000010000000000000000010001000100000000000000001100000100011001000000011000010011000100010100001000011000100011010100000100011101000100000101001001100000000010001000010001010100110000111100000001100000000100000000011100000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000,5,0,12,2,0,2,146.14499999999998,1.0,1.793,0
12,88-30-2,Oc1ccc(c(c1)C(F)(F)F)[N+]([O-])=O,10000000011000100011000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001111100000000000001000000100000000000000000000000110000001100100000011001100000010000001100001100011010000000000100000100001000000000100000010000001000100100010000100100001100000000100000100000000000000000001000000010001000000000001010001000100000000000000001100110110010001010000010000010011000100010100000101001000110010011100000000111000000000000011001001100000000010001000010001101100000000111101100001100000000010000000011100000000001000000000000010000000000000000000000100000000000000000000000001000000000000010000000000000000000000100000000000000000000000000000000000000000000000000000000000,8,2,14,1,0,1,207.10699999999997,1.3571428571428572,2.3192000000000004,1
13,12125-02-9,[NH4+].[Cl-],10000000000000100000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,3,2,0,0,0,0,53.492000000000004,1.0,-2.6198,0
14,7758-98-7,[Cu++].[O-][S]([O-])(=O)=O,00000000000000000011100000000000010000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,6,4,4,2,0,0,159.60899999999998,1.1666666666666667,-1.3405,0
15,2104-64-5,CCO[P](=S)(Oc1ccc(cc1)[N+]([O-])=O)c2ccccc2,11000000011100100011100000000010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000110000000000000000000000000000000000000000000000000000000000000000000010100000000000000000000000001111000001000000001000000000000100000000000000000100000001100101000011001000000000010001100101100011010000000000100000100000100010000100000010000000000100100010000100100001100000000100000100000000000000000001000000010001000000000001010001000100000000000000001100110110010001010000010000010011000100010100000001001000110010011100000000011000000000000011001001100000000010001000010001100100000000111101100000100000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,9,3,22,2,0,2,323.31000000000006,1.1428571428571428,3.645100000000002,0
16,7447-41-8,[Li+].[Cl-],00001000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2,2,0,0,0,0,42.394000000000005,1.0,-5.992,0
17,13826-65-8,[Pb++].[O-]N=O.[O-]N=O,00000000000000110011100000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000010000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7,3,4,2,0,0,299.21000000000004,1.0,0.12039999999999998,0
18,111-69-3,N#CCCCCC#N,11000000011000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110000000000000000000000000000000000000000000000100000000000100000010000000000000000000000000000000000000000000000000000000000000000000100000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,0,7,0,2,0,108.144,0.875,1.59396,0
19,206-44-0,c1ccc2c(c1)c3cccc4cccc2c34,11000000011110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000000000000000000001100000110000011000000000000000000000000000000000000000000000001100000110000010101010000000000000000000001100000000000000000000000000000000000000000000000110000000000100000000001100000000000001100000000000011000000000000000000000000000000100000000000001000100000010000100000000000000000000000100000000000000000001000000000000000000000000010001000100000000000000000000000000010001000000010000010000000100010100000000001000100010000100000000010000000000000001000001000000000000000000010001000100000000111000000001000000011000000000011101000000000000000000000100000000000000000000100000000000000000000000000000000000000000100000000000000000000100000000000000000000100000000000000000000100000000000000000000,0,0,19,0,0,4,202.25599999999997,0.4375,4.487200000000002,0
20,72-20-8,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,11000000011100000010000000000000000001110000000000000000000000000000000000000000000000000000000000000000000000000001001000000000000000000000000110000011000001100000100000000000001101000100000010000000000000000000000000000000000110000000000000000000000000000000000000000000000000000001101000000010000000000000000000000000000000000000110100010110101000001000000010000010000000000000000000000000000000000000010000000000100000000000000000000000010000000000000000000000000000000000000000000000001000000000000000000000000000000000100001000000000000000000001000001000000000000000000000000010000000010000000000000000000000100000000000000000000001001000000000000000000010000000000000000011100000001100000011110000000011101000000000000000000000000000000000000000000000000000000000000000010000000000000000000110000000000000000000110000000000000000000110010000000000000100110010000000000000100,19,0,23,1,0,5,380.913,0.8421052631578947,4.481400000000002,0
21,2058-46-0,[Cl-].CN(C)[C@H]1[C@@H]2[C@@H](O)[C@H]3C(=C(O)c4c(O)cccc4[C@@]3(C)O)C(=O)[C@]2(O)C(=O)\C(=C(N)/O)C1=O.[H+],11100000011110110011110000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000110000010000001000000000000000000000000000000000000000000000000100000010000000000000000000000000001111000000000000100000000100000000000000000000000110101111100111000011001100000000110001100100000011010000011010000000000001000000000100010000000001010100001010100100001000000000010100000100000000000000000001000000010000000000000000010001000100000000001110011100000100011001000000010010011011100111110100010101001000100110010100001000111000000000000001001111110000000010001000010011001100100000111111111101111111011110111101011101000000000000000000000010000000000000000000110000000000000000000110000000000000000000110000100000000000000110000000000000000000000000000000000000000000000000000000000000,33,8,36,5,0,4,496.9000000000003,1.1176470588235294,-4.2836999999999925,6
22,35691-65-7,BrCC(Br)(CCC#N)C#N,10000000011000110000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110000000000010000000000000000000000000000011100110000000000100000010000000000000000000000000000000000000000000000000000000000000000000100000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000001000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,10,0,9,0,2,0,265.936,1.4,2.34236,0
23,7758-99-8,O.O.O.O.O.[Cu++].[O-][S]([O-])(=O)=O,11000000000000000011110000000000010000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,11,4,4,2,0,0,249.684,0.7272727272727273,-5.463999999999998,0
24,7733-02-0,[Zn++].[O-][S]([O-])(=O)=O,00000000000000000011100000000000010000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,6,4,4,2,0,0,161.45299999999997,1.1666666666666667,-1.3405,0
25,7447-39-4,[Cl-].[Cl-].[Cu++],00000000000000000000000000000000000001100000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,3,3,0,0,0,0,134.452,0.6666666666666666,-5.9945,0
26,55268-74-1,O=C1CN(CC2N1CCc3ccccc23)C(=O)C4CCCCC4,11100000011110110011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000111100010000001000000000000000000000000000000000000000000000000101100010000000000000000000000000001111000000000000000000000000000000000000000000000110100101000110000011001100000000100001100000000000010000011000000000000000000000000100010000000001000100001010100100001000000000000100000100000000000000000001000000000000000000000000010001000100000000001100010000000010010001000000010000110000000110010100000001001000100110001100101000010000000001000011000001000011000000000100010001000100000000111000110001000100010000000100011101000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000,17,0,26,2,0,4,312.4130000000002,1.0869565217391304,2.5349000000000004,0
27,114-26-1,CNC(=O)Oc1ccccc1OC(C)C,11000000011100100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001111000000000000100000000000000000000000000000000100000010100101000001001000000000110001100100000111010000010110000000000010000000000100010000000000000100000010000100001100000000000000000100000100000000000001000000010000000000000000010001000100010000000000011101000100010001001000011010010011000100010100001000011000100011010100010100011101000100010101001001100001000010001000010101010100000000111100000000100000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000,9,0,15,1,0,1,209.24499999999998,1.2666666666666666,2.192,0
28,680-31-9,CN(C)[P](=O)(N(C)C)N(C)C,11100000011000110010000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010000000000000000001000000000100000000000000000000000000000000000000000000000000100000000100000000000000010000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,11,1,10,1,0,0,179.204,0.7272727272727273,0.7792999999999999,0
29,7761-88-8,[Ag+].[O-][N+]([O-])=O,00000000000000100011000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000010000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,5,4,3,1,0,0,169.87199999999999,1.4,-0.2416,0
30,80-38-6,Clc1ccc(O[S](=O)(=O)c2ccccc2)cc1,11000000011100000011000000000000010001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000110000000000000000000000000000000000000000000000000000000000000000000010100000000000000000000000001101000000110000000000000000000000000000000000000100000000110100000001101000000100000001100000000011110000000000000000000000000000010100000000000000000100000010000100000000001110000010000100000000001000000001000000010010100000000000010001000100000011000000001100000101010001000000010000010011000100010100000010001001100010010100000000011000000000000001001001100000000010001000010001000100000000111100000000100000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,5,1,18,2,0,2,268.721,0.8823529411764706,3.1077000000000012,0
31,13410-01-0,[Na+].[Na+].[O-][Se]([O-])(=O)=O,00000000000000000011100000110000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7,5,4,2,0,0,188.93599999999998,1.0,-8.9884,0
32,151-21-3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,11100000011100000011100000100000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000000000000000000000000000100000000000101000001000000000000010000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000001100000001100000010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,18,3,16,2,0,0,288.385,0.8333333333333334,0.38809999999999967,0
33,759-94-4,CCCN(CCC)C(=O)SCC,11100000011100100010000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000100000000000000000000000000000000000000100000000000110001010100000000000100100000100000000000000011000000000000000000001000000010000000000000000000000000000001000000000000000000000000000000000000010000000000000000010000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000011000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,12,0,11,1,0,0,189.32399999999998,1.1666666666666667,2.9815000000000014,0
34,4901-51-3,Oc1cc(Cl)c(Cl)c(Cl)c1Cl,00000000011000000010000000000000000001110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001101000000010000000000000100000000000000000000000100000000110100000001001000000100000001100000000011010000000000000000000001000000000100000000000000000100000010000100000000000000000000000100000000000000000001000000010010101000000000000001000101001000000000001100000101110001000000010000010011000100010100000110001001000010010100000000111000000000000001001001100000000010001000010001001100000000111100000000100000000000000000000000000000000100000000100000000000100000000100000000000100000000100000000000100000000100000000000100000000100000000000100000000100000000000000000000000000000000000000000000,5,0,11,0,0,1,231.893,0.9090909090909091,4.0058,1
35,104-40-5,CCCCCCCCCc1ccc(O)cc1,11100000011100000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001101000000000000000000000100000000000000000000000110000000100100000001001100000000000001100100000011010000000000000000000001000000000100000000000001000100000010000100000000000000000000000100000000000000000001000000010000000000000000010001000100000000000000001100000100010001000000010000010011000100010100000100001000100010010100000000111000000000000001001001100000000010001000010001001100000000111100000001100000011100000000011100010000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,10,0,16,0,0,1,220.35600000000002,0.8125,4.685300000000005,1
36,17109-36-3,Cc1c(Cl)cc(c(O)c1C(=O)Nc2ccc(cc2Cl)[N+]([O-])=O)C(C)(C)C,11100000011110110011100000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000110000000000000000000000000000000000000000000000000000000000000000000010100000000000000000000000001111000000010000101000000100000000000000000000000111000001110100000011001100000100000001100101100011010000010110100000100001000000000100010010000001000100101010100100101001100000000100000100000000000000000001001010010011100000000001010001000100000000001000001000110111011001010000010000010011000110110110000111001011110010011110001000111000101001000011001101111010000010001110010001101100100000111100110001100100011110000100011111100000000100000100000110010000000000010000110010000000000010000100000000100000100000110010000000000010000110010000000000010000000000000000000000000000000000000000000000,14,2,27,2,0,2,397.2580000000002,1.1923076923076923,5.465420000000003,1
